,id,year,sentence,organization,triples,title
23,25971975,2015,ATP activates the enzyme solely by preventing dATP from binding.,"From the Department of Medical Biochemistry and Biophysics, UmeÃ¥ University, SE-901 87 UmeÃ¥ and anders.hofer@medchem.umu.se.","{Triple(1, ATP, activates, enzyme)}",Diversity in Overall Activity Regulation of Ribonucleotide Reductase
24,30509441,2017,Aberrant properties of HLA-B*27 can activate the IL-23/IL-17 axis in HLA-B*27 transgenic rats and humans.,"Pediatric Translational Research Branch, NIAMS Intramural Research Program, NIH, USA. Electronic address: tejpal.gill@nih.gov.","{Triple(1, Aberrant properties, can activate, IL-23/IL-17 axis)}",The Role of HLA-B*27 in Spondyloarthritis
47,32454225,2020,"As a typical UCP2-inhibiting compound, genipin could inhibit AMP-activated protein kinase or NF-ÎºB in circumstance.","Department of Gastroenterology and Hepatology, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Institute of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Tianjin Key Laboratory of Digestive Disease, Tianjin Medical University General Hospital, Anshan Road 154, Heping District, Tianjin 300052, China; Department of Gastroenterology, Tianjin Medical University General Hospital Airport Hospital, East Street 6, Tianjin Airport Economic Area, Tianjin 300308, China. Electronic address: chaosun@tmu.edu.cn.","{Triple(1, genipin, could inhibit, AMP-activated protein kinase or NF-ÎºB)}","Therapeutic Potential of Genipin in Various Acute Liver Injury, Fulminant Hepatitis, NAFLD and Other Non-Cancer Liver Diseases: More Friend Than Foe"
83,32435739,2019,"Consistent with earlier research, we also found that imminent threat activated the midbrain and that this effect was significantly stronger during the simple pursuit condition than during goal conflict.","Department of Psychology, City, University of London, London, UK.","{Triple(1, imminent threat, activated, midbrain)}",Towards a Neuroscience-Based Theory of Personality: Within-Subjects Dissociation of Human Brain Activity During Pursuit and Goal Conflict
95,28532361,2016,Each can activate ganglion cells through direct or indirect stimulation.,"Institute for Biomedical Therapeutics, University of Southern California, Los Angeles, California 90033.","{Triple(1, Each, can activate, ganglion cells)}",Electrical Stimulation of the Retina to Produce Artificial Vision
162,28451155,2016,"Importantly, the method activates the serine residue for the synthesis of peptide thioesters; thus it is fully automated and free of the types of resins, linkers, handles, and unnatural amino acids typically needed for the synthesis of peptide thioesters using Fmoc chemistry.","Department of Chemistry , Seton Hall University , 400 South Orange Ave , South Orange , NJ 07079 , USA . Email: monika.raj@shu.edu.","{Triple(1, method, activates, serine residue)}",Serine Promoted Synthesis of Peptide Thioester-Precursor on Solid Support for Native Chemical Ligation
167,28445888,2016,"In both groups, the TSST activated the HPA axis and suppressed the inflammatory parameters.","Collaborative Antwerp Psychiatric Research Institute (CAPRI), Faculty of Medicine and Health Sciences, University of Antwerp, Antwerp, Belgium.","{Triple(1, TSST, activated, HPA axis)}","Differential Effects of Inflammatory and Psychosocial Stress on Mood, Hypothalamic-Pituitary-Adrenal Axis, and Inflammation in Remitted Depression"
179,31395347,2017,"In the presence of DNA lesions, cells activate pathways referred to as the DNA damage response .","Department of Molecular Biosciences, Institute for Cellular and Molecular Biology, The University of Texas at Austin, 2506 Speedway, Austin, TX 78712, United States. Electronic address: kyle.miller@austin.utexas.edu.","{Triple(1, cells, activate, pathways)}",Histone Methylation and the DNA Damage Response
242,32148406,2018,"Moreover, Rg5 activated ABCB1 ATPase and reduced verapamil-stimulated ATPase activity, suggesting a high affinity of Rg5 to ABCB1 binding site which was further demonstrated by molecular docking analysis.","Institute of Chinese Integrative Medicine, Guangzhou Medical University, Guangzhou, China.","{Triple(1, Rg5, activated, ABCB1 ATPase)}",Ginsenoside Rg5 Overcomes Chemotherapeutic Multidrug Resistance Mediated by ABCB1 Transporter: in vitro and in vivo Study
244,31949670,2018,"Moreover, melatonin activated the PI3K/Akt pathway.","Department of Cardiovascular Surgery, Xinqiao Hospital, Third Military Medical University Chongqing, PR China.","{Triple(1, melatonin, activated, PI3K/Akt pathway)}",Melatonin Alleviates Hypoxia-Induced Cardiac Apoptosis Through PI3K/Akt Pathway
257,29098073,2016,Others sense foreign sequences in the form of double-stranded RNA and activate the innate immune response.,"Department of Biochemistry and Molecular Pharmacology, University of Massachusetts Medical School, Worcester, MA, 01605, USA.","{Triple(1, Others, activate, innate immune response)}",Protein-mRNA Interactome Capture: Cartography of the mRNP Landscape
286,28584393,2016,"Recent exposure to pathogens may have a particularly large impact on behavioral expression given that it likely activates costly immune pathways, potentially forcing organism to make behavioral tradeoffs.","Department of Biology, Biological & Geological Sciences, University of Western Ontario, 1151 Richmond St N, London, Ontario N6A 5B7, Canada.","{Triple(1, it, activates, costly immune pathways)}",Adult Bacterial Exposure Increases Behavioral Variation and Drives Higher Repeatability in Field Crickets
296,29178719,2016,All LPS from P. gingivalis activated both TLR2 and TLR4 responses.,"The Procter $ Gamble Company, Mason, Ohio, USA.","{Triple(1, All LPS, activated, both TLR2 and TLR4 responses)}",Quantitation of Endotoxin and Lipoteichoic Acid Virulence Using Toll Receptor Reporter Gene
319,32254100,2018,"The DNA machine was activated by target miRNA binding and powered by NIR-responsive released DNA fuel through toehold-mediated strand displacement reactions, accomplished by strong fluorescence recovery.","Department of Chemistry, School of Chemistry and Bioengineering, University of Science and Technology Beijing, 30 Xueyuan Road, Beijing 100083, P. R. China. wjli@sas.ustb.edu.cn.","{Triple(1, DNA machine, was activated by, target miRNA binding)}",Intracellular Low-Abundance microRNA Imaging by a NIR-assisted Entropy-Driven DNA System
320,28824831,2016,"The ER under the stress activates signaling cascades, known as unfolded protein response, to suppress cell mitosis and/or trigger apoptosis.","Department of Obstetrics, Gynecology and Reproductive Sciences, University of Maryland School of Medicine, Baltimore, Maryland, USA.","{Triple(1, ER, activates, signaling cascades)}",Reevaluation of Antioxidative Strategies for Birth Defect Prevention in Diabetic Pregnancies
323,28510041,2016,The Nrf2 transcription factor activates the transcription of several cytoprotective genes that have been implicated in protection from cancer and NDD.,"Department of Biophysics, National Institute of Mental Health and Neurosciences (NIMHANS), Hosur Road, Bangalore, 560029, India. paddy@nimhans.ac.in.","{Triple(1, Nrf2 transcription factor, activates, transcription)}",The Keap1-Nrf2 Pathway: Promising Therapeutic Target to Counteract ROS-mediated Damage in Cancers and Neurodegenerative Diseases
337,30455539,2017,The current findings indicate that a bout of eccentric actions activates the expression of MSTN inhibitors.,"Institute of Biomedical Sciences, University of SÃ£o Paulo, SÃ£o Paulo, SP, Brazil.","{Triple(1, bout, activates, expression)}",Effect of Eccentric Action Velocity on Expression of Genes Related to Myostatin Signaling Pathway in Human Skeletal Muscle
350,29021694,2016,"The miRNAs-regulated signaling pathways of KGE were then found by Cignal 45-Pathway Reporter Array, proving that KGE could activate GR.","Laboratory of Physiology and Cell Signaling, College of Veterinary Medicine, Kyungpook National University, Daegu, Republic of Korea.","{Triple(1, KGE, could activate, GR)}",Korean Red Ginseng Extract Induces Angiogenesis Through Activation of Glucocorticoid Receptor
371,29051424,2016,The results indicate that exposure to several BFRs may activate an antioxidant response and alter behavior during early development.,"Department of Environmental Science, Baylor University, Waco, TX 76798, USA. Erica_Bruce@baylor.edu.","{Triple(1, exposure, may activate, antioxidant response)}",Evaluation of Common Use Brominated Flame Retardant (BFR) Toxicity Using a Zebrafish Embryo Model
422,32453758,2020,"Thus, during HTLV-1 infection, Tax activates RNF8 to assemble nuclear K63-pUbs that sequester DDR factors in Tax speckles, disrupting DDR signaling and DSB repair.","Department of Microbiology and Molecular Cell Biology The Leroy T. Canoles Jr Cancer Research Center Eastern Virginia Medical School Norfolk, VA, United States of America.","{Triple(1, Tax, activates, RNF8)}",RNF8 Dysregulation and Down-regulation During HTLV-1 Infection Promote Genomic Instability in Adult T-Cell Leukemia
3,32454462,2020,Stearoyl-coenzyme A desaturase-1 can inhibit the development of diabetic bone disease by promoting osteogenesis.,"Department of Neurosurgery, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai Jiao Tong University, Shanghai 200080, China.","{Triple(2, Stearoyl-coenzyme A desaturase-1, can inhibit, development)}","MiR-1908/EXO1 and MiR-203a/FOS, Regulated by scd1, Are Associated With Fracture Risk and Bone Health in Postmenopausal Diabetic Women"
21,32454111,2020,"ACP activity was stimulated by Ca2+, strongly inhibited by Cu2+ and Fe3+, and moderately inhibited by Mg2+ and Zn2+.","Chemistry Laboratory, Department of Mathematics and Science Education, Kazim Karabekir Education Faculty, AtatÃ¼rk University, 25240 Erzurum, Turkey.","{Triple(2, ACP activity, was inhibited by, Cu2+ and Fe3+), Triple(4, ACP activity, was stimulated by, Ca2+), Triple(2, ACP activity, was inhibited by, Mg2+ and Zn2+)}",A Novel Acid Phosphatase From Cactus (Opuntia Megacantha Salm-Dyck) Cladodes: Purification and Biochemical Characterization of the Enzyme
49,32373203,2018,"At the same time, imipenem significantly inhibited the uptake of cilastatin in rat kidney slices and in human OAT1 -HEK293 and human OAT3 -HEK293 cells.","Provincial Key Laboratory for Pharmacokinetics and Transport, Dalian Medical University, Dalian 116044, China.","{Triple(2, imipenem, inhibited, uptake)}",Organic Anion Transporters Also Mediate the Drug-Drug Interaction Between Imipenem and Cilastatin
55,32454111,2020,"Br-, CN-, F-, I- and N3- weakly inhibited ACP activity, where more than 70% of enzyme activity was remained at 5 mM.","Chemistry Laboratory, Department of Mathematics and Science Education, Kazim Karabekir Education Faculty, AtatÃ¼rk University, 25240 Erzurum, Turkey.","{Triple(2, Br-, CN-, F-, I- and N3-, inhibited, ACP activity)}",A Novel Acid Phosphatase From Cactus (Opuntia Megacantha Salm-Dyck) Cladodes: Purification and Biochemical Characterization of the Enzyme
56,32373203,2018,"But, cilastatin significantly inhibited the uptake of imipenem when dehydropeptidase-1 was silenced by RNAi technology in hOAT1- and hOAT3-HEK 293 cells.","Provincial Key Laboratory for Pharmacokinetics and Transport, Dalian Medical University, Dalian 116044, China.","{Triple(2, cilastatin, inhibited, uptake)}",Organic Anion Transporters Also Mediate the Drug-Drug Interaction Between Imipenem and Cilastatin
88,28618867,2016,"Discussion Our results showed that third-party ACs inhibited the proliferation of allogeneic activated lymphocytes, thereby inhibiting production sIL-2RÎ±, although ACs did not affect IL-2 secretion from lymphocytes.","1 Department of Orthopaedic Surgery, Asahikawa Medical University, Asahikawa, Japan.","{Triple(2, third-party ACs, inhibited, proliferation)}",Human Articular Chondrocytes Induce Interleukin-2 Nonresponsiveness to Allogeneic Lymphocytes
110,31949657,2018,Functional analysis revealed that miR-20a-5p overexpression inhibited EMT and invasion of EC cells.,"Department of Gynecology and Obstetrics, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital Chengdu, Sichuan, China.","{Triple(2, miR-20a-5p overexpression, inhibited, EMT and invasion of EC cells)}",MicroRNA-20a-5p Inhibits Epithelial to Mesenchymal Transition and Invasion of Endometrial Cancer Cells by Targeting STAT3
111,31949657,2018,Further exploration showed that miR-20a-5p inhibited STAT3 expression by direct interaction.,"Department of Gynecology and Obstetrics, Sichuan Academy of Medical Sciences, Sichuan Provincial People's Hospital Chengdu, Sichuan, China.","{Triple(2, miR-20a-5p, inhibited, STAT3 expression)}",MicroRNA-20a-5p Inhibits Epithelial to Mesenchymal Transition and Invasion of Endometrial Cancer Cells by Targeting STAT3
116,31949673,2018,"Furthermore, 5-FU treatment inhibited the proliferation of BGC823/5-FU cells, as evidenced by decreased cell viability and reduced colony-forming ability.","Department of Abdominal Surgery, Zhejiang Cancer Hospital Hangzhou 310022, Zhejiang Province, China.","{Triple(2, 5-FU treatment, inhibited, proliferation)}",Knockdown of PHGDH Potentiates 5-FU Cytotoxicity in Gastric Cancer Cells via the Bcl-2/Bax/caspase-3 Signaling Pathway
118,32440504,2019,"Furthermore, GEN inhibited IL-6-induced vascular endothelial cell migration and tube formation in vitro.","Department of Orthopedic, University of Chinese Academy of Sciences Shenzhen Hospital, 518000, Shenzhen, China.","{Triple(2, GEN, inhibited, IL-6-induced vascular endothelial cell migration and tube formation)}",Genistein Inhibits Angiogenesis Developed During Rheumatoid Arthritis Through the IL-6/JAK2/STAT3/VEGF Signalling Pathway
