id,year,org,sentence,type,X,action,Y,12,3,0,0,1,8
30962733,2017,"Department of Pharmaceutical Engineering, Cheongju University, Cheongju, Republic of Korea.","These complexes induce inflammatory responses by activating a downstream effector, caspase-1, leading to gasdermin D -mediated pyroptosis and the secretion of proinflammatory cytokines, such as interleukin (IL)-1β and IL-18.",4,complexes,induce,responses,,,,,,
30962733,2017,"Department of Pharmaceutical Engineering, Cheongju University, Cheongju, Republic of Korea.","This relationship also has applications regarding the development of antiinflammatory remedies by ginsenoside-mediated targeting of inflammasomes, which could be used to prevent and treat inflammatory diseases.",0,,,,,,,,,
31395347,2017,"Department of Molecular Biosciences, Institute for Cellular and Molecular Biology, The University of Texas at Austin, 2506 Speedway, Austin, TX 78712, United States. Electronic address: kyle.miller@austin.utexas.edu.","In the presence of DNA lesions, cells activate pathways referred to as the DNA damage response (DDR).",1,cells,activate,pathways,,,,,,
31395346,2017,"Department of Toxicology, University of Mainz, Obere Zahlbacher Str. 67, D-55131 Mainz, Germany. Electronic address: kaina@uni-mainz.de.","Besides its role in preventing cancer, DNA repair needs also to be considered during cancer treatment with radiation and DNA damaging drugs as it impacts therapy outcome.",0,,,,,,,,,
31395346,2017,"Department of Toxicology, University of Mainz, Obere Zahlbacher Str. 67, D-55131 Mainz, Germany. Electronic address: kaina@uni-mainz.de.","Alterations in the expression of repair genes can occur due to mutations in their coding or promoter region, changes in the expression of transcription factors activating or repressing these genes, and/or epigenetic factors changing histone modifications and CpG promoter methylation or demethylation levels.",0,,,,,,,,,
30895105,2017,"Department of Orthodontics, Faculty of Dentistry, Selcuk University, Konya, Turkey.","Therefore, the purpose of this study is to investigate the efficacy of different preventive methods in preventing occlusal and proximal incipient lesions (ILs) during fixed orthodontic treatment.",0,,,,,,,,,
30962735,2017,"Department of Pharmaceutical Engineering, College of Health Sciences, Sangji University, Wonju, Republic of Korea.",GEF-mediated insulin secretion was not blocked by LPA receptor antagonist.,5,secretion,was not blocked by,antagonist,,,,,,
31047236,2017,"Sorbonne Universités, UPMC Univ Paris 06, INSERM U968, CNRS UMR 7210, Institut de la Vision, Paris, France; CHNO des Quinze-Vingts, DHU Sight Restore, INSERM-DGOS CIC 1423, Paris, France; Fondation Ophtalmologique Rothschild, Paris, France; Department of Ophthalmology, The University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania.","Conclusions:
      
    

    
      The combined use of scleral flap and temporalis fascia autograft was easily achieved and effective in preventing hypotony and conjunctival erosion in our study.",0,,,,,,,,,
31275843,2017,"Department of Otorhinolaryngology, Head and Neck Surgery, Sri Aurobindo Medical College and Post Graduate Institute, NH3 Manorama Ganj, Indore, MP 452 001 India.",Spreader grafts for stabilization of the internal nasal valve and dorsal onlay grafts to prevent dorsal irregularity are strongly encouraged.,0,,,,,,,,,
31258360,2017,"Department of Thoracic Surgery, Erciyes University School of Medicine, Kayseri, Turkey.",Markedly increased EGFR mRNA expression ratios in the absence of activating mutations showed that identifying the EGFR mRNA expression level for prediction of response to EGFR tyrosine kinase inhibitors might be significant in the Turkish population.,0,,,,,,,,,
